Metalearned,Rotation,Curriculum,Seed,Accuracy,Successes,Failures
False,Rotated,Blocked,1,0.5,160,160
False,Rotated,Interleaved,1,0.990625,317,3
False,Rule-like,Blocked,1,0.5,160,160
False,Rule-like,Interleaved,1,1.0,320,0
False,Rotated,Blocked,2,0.5,160,160
False,Rotated,Interleaved,2,0.99375,318,2
False,Rule-like,Blocked,2,0.5,160,160
False,Rule-like,Interleaved,2,1.0,320,0
False,Rotated,Blocked,3,0.5,160,160
False,Rotated,Interleaved,3,0.99375,318,2
False,Rule-like,Blocked,3,0.5,160,160
False,Rule-like,Interleaved,3,1.0,320,0
False,Rotated,Blocked,4,0.5,160,160
False,Rotated,Interleaved,4,0.99375,318,2
False,Rule-like,Blocked,4,0.5,160,160
False,Rule-like,Interleaved,4,1.0,320,0
False,Rotated,Blocked,5,0.5,160,160
False,Rotated,Interleaved,5,1.0,320,0
False,Rule-like,Blocked,5,0.5,160,160
False,Rule-like,Interleaved,5,1.0,320,0
False,Rotated,Blocked,6,0.5,160,160
False,Rotated,Interleaved,6,1.0,320,0
False,Rule-like,Blocked,6,0.5,160,160
False,Rule-like,Interleaved,6,1.0,320,0
False,Rotated,Blocked,7,0.5,160,160
False,Rotated,Interleaved,7,1.0,320,0
False,Rule-like,Blocked,7,0.5,160,160
False,Rule-like,Interleaved,7,1.0,320,0
False,Rotated,Blocked,8,0.5,160,160
False,Rotated,Interleaved,8,0.9625,308,12
False,Rule-like,Blocked,8,0.5,160,160
False,Rule-like,Interleaved,8,1.0,320,0
False,Rotated,Blocked,9,0.5,160,160
False,Rotated,Interleaved,9,0.9375,300,20
False,Rule-like,Blocked,9,0.5,160,160
False,Rule-like,Interleaved,9,1.0,320,0
False,Rotated,Blocked,10,0.5,160,160
False,Rotated,Interleaved,10,0.996875,319,1
False,Rule-like,Blocked,10,0.5,160,160
False,Rule-like,Interleaved,10,1.0,320,0
True,Rule-like,Blocked,1,1.0,320,0
True,Rule-like,Interleaved,1,0.3,96,224
True,Rule-like,Blocked,2,1.0,320,0
True,Rule-like,Interleaved,2,1.0,320,0
True,Rule-like,Blocked,3,0.996875,319,1
True,Rule-like,Interleaved,3,0.996875,319,1
True,Rule-like,Blocked,4,1.0,320,0
True,Rule-like,Interleaved,4,1.0,320,0
True,Rule-like,Blocked,5,1.0,320,0
True,Rule-like,Interleaved,5,1.0,320,0
True,Rule-like,Blocked,6,1.0,320,0
True,Rule-like,Interleaved,6,0.965625,309,11
True,Rule-like,Blocked,7,1.0,320,0
True,Rule-like,Interleaved,7,1.0,320,0
True,Rule-like,Blocked,8,1.0,320,0
True,Rule-like,Interleaved,8,0.65,208,112
True,Rule-like,Blocked,9,1.0,320,0
True,Rule-like,Interleaved,9,0.659375,211,109
True,Rule-like,Blocked,10,1.0,320,0
True,Rule-like,Interleaved,10,0.4875,156,164
True,Rotated,Blocked,1,0.596875,191,129
True,Rotated,Interleaved,1,1.0,320,0
True,Rotated,Blocked,2,0.6,192,128
True,Rotated,Interleaved,2,1.0,320,0
True,Rotated,Blocked,3,0.5875,188,132
True,Rotated,Interleaved,3,1.0,320,0
True,Rotated,Blocked,4,0.671875,215,105
True,Rotated,Interleaved,4,1.0,320,0
True,Rotated,Blocked,5,0.696875,223,97
True,Rotated,Interleaved,5,1.0,320,0
True,Rotated,Blocked,6,0.75,240,80
True,Rotated,Interleaved,6,1.0,320,0
True,Rotated,Blocked,7,0.571875,183,137
True,Rotated,Interleaved,7,1.0,320,0
True,Rotated,Blocked,8,0.66875,214,106
True,Rotated,Interleaved,8,1.0,320,0
True,Rotated,Blocked,9,0.65625,210,110
True,Rotated,Interleaved,9,1.0,320,0
True,Rotated,Blocked,10,0.6375,204,116
True,Rotated,Interleaved,10,1.0,320,0
